precinct_ward,registered_voters,adult_population
1-1,1074,
1-2,512,
1-5,729,
1-6,572,
2-1,1034,
2-2,1356,
2-4,894,
2-6,417,
2-7,2118,
3-1,2318,
3-12,1441,
3-14,452,
3-15,483,
3-18,1076,
3-19,919,
3-20,481,
3-8,1693,
3-9,679,
4-11,754,
4-14,1402,
4-15,1217,
4-17,1039,
4-17A,592,
4-18,1151,
4-2,1452,
4-20,785,
4-21,796,
4-22,785,
4-23,713,
4-3,845,
4-6,873,
4-7,426,
4-8,627,
4-9,1398,
5-1,351,
5-10,484,
5-11,458,
5-12,767,
5-13,559,
5-15,1002,
5-16,406,
5-17,724,
5-18,926,
5-2,381,
5-3,987,
5-5,606,
5-7,740,
5-8,581,
5-9,489,
6-1,597,
6-2,675,
6-4,542,
6-6,998,
6-7,467,
6-8,524,
6-9,685,
7-1,674,
7-10,455,
7-11,764,
7-12,758,
7-13,597,
7-14,645,
7-15,713,
7-16,533,
7-17,613,
7-18,1083,
7-19,801,
7-2,625,
7-20,1110,
7-21,650,
7-23,1311,
7-24,832,
7-25,723,
7-25A,562,
7-26,881,
7-27,492,
7-27B,475,
7-28,613,
7-28A,693,
7-29,588,
7-30,1154,
7-32,609,
7-33,722,
7-35,1243,
7-37,964,
7-37A,743,
7-4,486,
7-40,1397,
7-41,466,
7-42,441,
7-5,756,
7-6,563,
7-7,597,
7-8,884,
7-9A,450,
8-1,535,
8-12,1275,
8-13,383,
8-14,527,
8-15,1279,
8-19,1350,
8-2,586,
8-20,638,
8-21,590,
8-22,574,
8-23,600,
8-24,611,
8-25,915,
8-26,871,
8-27,870,
8-28,939,
8-30,1167,
8-4,482,
8-6,787,
8-7,486,
8-8,546,
8-9,900,
9-1,1157,
9-10,1191,
9-11,479,
9-12,647,
9-13,537,
9-14,447,
9-15,630,
9-16,533,
9-17,739,
9-19,893,
9-21,1085,
9-23,556,
9-25,846,
9-26,408,
9-28,567,
9-28C,672,
9-29,366,
9-3,708,
9-30,819,
9-30A,529,
9-31,528,
9-31A,814,
9-31B,498,
9-31D,757,
9-32,368,
9-33,1375,
9-34A,736,
9-35,359,
9-35A,456,
9-36,933,
9-36B,1234,
9-37,913,
9-38,555,
9-38A,789,
9-39,1199,
9-39B,482,
9-4,543,
9-40,687,
9-40A,1184,
9-40C,673,
9-41,1242,
9-41A,503,
9-41B,1467,
9-41C,792,
9-41D,612,
9-42,1478,
9-42C,1227,
9-43A,1390,
9-43B,757,
9-43C,1168,
9-43E,596,
9-43F,698,
9-43G,684,
9-43H,488,
9-43I,641,
9-43J,563,
9-43K,803,
9-43L,667,
9-43M,1158,
9-43N,775,
9-44,900,
9-44A,751,
9-44B,1211,
9-44D,1029,
9-44E,1650,
9-44F,1165,
9-44G,826,
9-44I,1004,
9-44J,819,
9-44L,983,
9-44M,1076,
9-44N,959,
9-44O,1030,
9-44P,1755,
9-44Q,933,
9-45,489,
9-45A,93,
9-5,800,
9-6,1154,
9-7,712,
9-8,822,
9-9,536,
10-11,917,
10-12,531,
10-13,559,
10-14,522,
10-3,1176,
10-6,742,
10-7,491,
10-8,429,
10-9,678,
11-10,818,
11-11,650,
11-12,509,
11-13,423,
11-14,1062,
11-17,776,
11-2,857,
11-3,471,
11-4,553,
11-5,876,
11-8,497,
11-9,1014,
12-1,560,
12-10,528,
12-11,802,
12-12,538,
12-13,411,
12-14,824,
12-16,673,
12-17,1061,
12-19,865,
12-2,585,
12-3,642,
12-4,448,
12-5,568,
12-6,466,
12-7,909,
12-9,543,
13-1,443,
13-10,522,
13-11,725,
13-12,475,
13-13,465,
13-14,812,
13-15,584,
13-16,724,
13-2,559,
13-3,519,
13-4,714,
13-5,648,
13-6,458,
13-7,509,
13-8,584,
13-9,612,
14-1,547,
14-10,768,
14-11,458,
14-12,754,
14-13A,2148,
14-14,519,
14-15,544,
14-16,905,
14-17,498,
14-18A,717,
14-19,608,
14-2,490,
14-20,1145,
14-21,731,
14-23,584,
14-24A,814,
14-25,561,
14-26,689,
14-3,504,
14-4,401,
14-5,468,
14-6,642,
14-7,627,
14-8,541,
14-9,603,
15-1,478,
15-10,905,
15-11,529,
15-12,427,
15-12A,722,
15-13,735,
15-13A,883,
15-13B,891,
15-14,688,
15-14A,491,
15-14B,650,
15-14C,607,
15-14D,422,
15-14E,853,
15-14F,487,
15-14G,1378,
15-15,974,
15-15A,749,
15-15B,639,
15-16,832,
15-17,802,
15-17A,608,
15-17B,749,
15-18,440,
15-18A,758,
15-18B,1104,
15-18C,750,
15-18D,1913,
15-18E,1195,
15-18F,1575,
15-19,739,
15-19A,1468,
15-19B,550,
15-19C,1283,
15-2,1117,
15-3,616,
15-5,445,
15-6,704,
15-8,455,
15-9,686,
16-1,461,
16-1A,436,
16-2,665,
16-3,684,
16-4,731,
16-5,564,
16-6,878,
16-7,578,
16-8,561,
16-9,458,
17-1,494,
17-10,581,
17-11,567,
17-12,492,
17-13,473,
17-13A,387,
17-14,848,
17-15,621,
17-16,607,
17-17,576,
17-18,661,
17-18A,965,
17-19,1067,
17-2,453,
17-20,1515,
17-3,665,
17-4,465,
17-5,686,
17-6,793,
17-7,808,
17-8,596,
17-9,632,
